loan_amnt,term,installment,emp_length,home_ownership,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,log_annual_inc,fico_score,log_revol_bal,charged_off
5675,36,189.56,2,RENT,Source Verified,14-Dec,car,15.55,1992,7,0,15,15,Individual,0,0,4.69897869,697,3.464936429,0
7000,36,242.63,1,RENT,Source Verified,14-Dec,car,6.78,2002,3,0,69.2,5,Individual,0,0,4.30105171,717,3.431363764,0
3500,36,116.24,10,MORTGAGE,Not Verified,14-Dec,car,10.65,1997,16,0,12.6,35,Individual,2,0,4.681250285,742,3.765519543,0
10000,36,316.47,10,MORTGAGE,Not Verified,14-Dec,car,21.74,1996,7,0,23.7,22,Individual,4,0,4.875067054,707,3.424554977,0
1500,36,46.31,2,OWN,Not Verified,14-Dec,car,12.17,1997,8,0,46.5,13,Individual,2,0,4.812920038,712,4.448211468,0
8000,36,267.21,0,OWN,Not Verified,14-Dec,car,26.9,2005,26,0,64.4,67,Individual,4,0,4.653222165,672,4.366180058,0
2500,36,77.76,10,MORTGAGE,Not Verified,14-Dec,car,19.58,2002,13,1,40.4,36,Individual,3,1,4.50516355,677,3.445292769,0
2500,36,77.19,10,MORTGAGE,Not Verified,14-Dec,car,1.61,1985,7,0,31.7,21,Individual,5,0,5.021193435,702,3.653501947,0
15000,36,505.34,10,MORTGAGE,Not Verified,14-Dec,car,25.89,2000,30,1,29.1,39,Individual,3,0,4.838855385,677,3.600646236,0
5400,36,175.49,1,MORTGAGE,Verified,14-Dec,car,18.12,1999,11,0,24.4,28,Individual,2,0,4.778158489,777,3.976349979,0
16000,36,490.32,6,RENT,Not Verified,14-Dec,car,5.51,1999,7,1,0.1,23,Individual,4,0,5.113946693,747,1.913813852,0
2925,36,98.55,10,MORTGAGE,Verified,14-Dec,car,3.1,1995,7,1,53.6,35,Individual,5,1,4.579795025,662,3.401055726,0
9200,36,284.03,10,MORTGAGE,Not Verified,14-Dec,car,8.54,2000,6,0,89,19,Individual,3,0,4.795176447,732,4.206960729,0
10000,36,308.73,10,OWN,Source Verified,14-Dec,car,10.92,2001,12,0,7.4,22,Individual,0,0,4.778158489,762,3.51401618,0
18000,36,593.06,10,MORTGAGE,Verified,14-Dec,car,7.5,1989,11,0,37.5,26,Individual,0,0,4.681250285,672,4.535737052,0
4000,36,137.32,2,OWN,Not Verified,14-Dec,car,13.44,2007,14,0,60.7,28,Individual,0,0,4.544080453,667,4.174001626,1
5000,36,168.45,7,MORTGAGE,Not Verified,14-Dec,car,3.58,2005,8,0,35.7,13,Individual,0,0,4.69897869,752,3.751817788,0
7200,36,233.99,2,RENT,Source Verified,14-Dec,car,24.94,2006,10,0,44.6,27,Individual,0,0,4.69897869,682,4.072911316,0
16000,36,493.97,10,RENT,Source Verified,14-Dec,car,22.93,1986,12,0,90.7,22,Individual,0,0,5.08278896,672,4.659288538,0
3000,36,92.62,7,OWN,Not Verified,14-Dec,car,18.03,1995,10,0,40.7,20,Individual,2,0,5.056908661,702,3.925157327,0
2400,36,76.87,10,MORTGAGE,Not Verified,14-Dec,car,21.92,2002,11,0,59.2,12,Individual,1,0,4.579795025,707,3.623972512,0
1200,36,39.86,7,RENT,Verified,14-Dec,car,1.88,1988,3,0,18.3,12,Individual,0,0,4.50516355,777,3.166726056,0
25000,36,884.99,10,MORTGAGE,Source Verified,14-Dec,car,7.74,1991,8,1,38.6,44,Individual,1,1,4.924284456,672,3.604226053,0
2800,36,86.45,9,MORTGAGE,Not Verified,14-Dec,car,9.9,2001,9,1,22.7,28,Individual,2,1,5.096218065,662,3.460597189,0
6000,36,182.62,0,MORTGAGE,Not Verified,14-Dec,car,4.07,1987,8,0,0,24,Individual,4,0,4.977728177,822,1,0
10000,36,314.25,2,MORTGAGE,Verified,14-Dec,car,9.31,1995,7,1,50.1,30,Individual,7,1,4.977728177,662,3.205204364,0
6000,36,183.87,9,MORTGAGE,Not Verified,14-Dec,car,6.39,2002,6,0,7.7,19,Individual,3,0,4.977728177,792,3.692758818,0
2800,36,94.33,1,OWN,Not Verified,14-Dec,car,11.16,2011,8,0,38.9,8,Individual,0,0,4.230474467,712,3.665956029,0
1300,36,43.8,10,MORTGAGE,Not Verified,14-Dec,car,14.33,1996,10,0,71.8,27,Individual,4,0,4.812920038,697,4.111262514,0
5000,36,177,10,MORTGAGE,Source Verified,14-Dec,car,35.96,2001,12,0,78.8,15,Individual,1,0,4.672107098,692,4.316473584,0
33300,60,967.67,10,RENT,Verified,14-Dec,car,8.43,1987,5,0,3.2,15,Individual,1,0,4.968487618,667,2.655138435,0
4500,36,141.41,10,MORTGAGE,Not Verified,14-Dec,car,23.85,1998,5,0,63.2,11,Individual,3,0,4.371086342,737,4.331042436,0
4000,36,126.59,,RENT,Verified,14-Dec,car,9.15,2010,4,0,47.1,8,Individual,0,0,4.147398039,697,3.316808752,0
2800,36,99.12,7,RENT,Source Verified,14-Dec,car,15.22,2008,14,0,26.9,28,Individual,0,0,4.255296632,667,3.519959181,0
15600,36,506.97,10,MORTGAGE,Source Verified,14-Dec,car,29.92,1999,26,2,52.4,44,Individual,2,0,4.929424035,722,3.435685138,0
5600,36,187.05,4,OWN,Not Verified,14-Dec,car,11.93,2001,3,0,48.4,5,Individual,0,0,4.5185271,662,3.366422957,0
12000,36,408.16,1,RENT,Not Verified,14-Dec,car,11.85,2004,10,0,24,15,Individual,0,0,4.602070849,662,3.608953699,0
15000,60,445.3,3,RENT,Verified,14-Dec,car,13.76,2006,13,1,35.8,14,Individual,0,0,4.633478555,682,3.898725182,0
10000,36,329.48,4,RENT,Not Verified,14-Dec,car,27,2008,11,0,50.3,15,Individual,0,0,4.447173542,672,3.812043898,0
9100,36,325.08,2,RENT,Not Verified,14-Dec,car,2.44,2004,7,0,53.7,14,Individual,0,0,4.778158489,672,3.437433444,0
7500,36,237.35,4,RENT,Not Verified,14-Dec,car,12.07,1996,7,0,38.2,21,Individual,4,0,4.69897869,742,3.878923734,0
15000,60,333.6,10,RENT,Verified,14-Dec,car,16.87,2005,6,0,26.6,7,Individual,0,0,4.954247335,752,4.094436188,0
4000,36,136.06,7,OWN,Not Verified,14-Dec,car,23.88,2005,17,0,89.3,49,Individual,1,0,4.892100171,677,4.410085184,0
6900,36,230.47,0,RENT,Verified,14-Dec,car,6.98,2011,6,4,14.4,8,Individual,0,0,4.880819307,697,2.575187845,0
10000,36,346.61,5,MORTGAGE,Source Verified,14-Dec,car,31.43,2004,13,0,72.8,20,Individual,0,0,4.681250285,672,3.858055718,0
7200,36,239.11,5,RENT,Source Verified,14-Dec,car,11.75,2005,12,0,5.3,20,Individual,0,0,4.857338528,792,3.065579715,0
4200,36,144.18,3,RENT,Not Verified,14-Dec,car,16.84,2007,13,0,19.1,21,Individual,0,0,4.812920038,712,3.679155241,0
8000,36,269.52,8,MORTGAGE,Verified,14-Dec,car,31.03,2004,13,2,44.9,38,Individual,1,2,4.612794449,662,4.062356318,0
4525,36,160.19,4,MORTGAGE,Verified,14-Dec,car,0.48,2006,2,0,95.4,9,Individual,2,0,4.724284064,742,2.883093359,0
6000,36,186.61,4,RENT,Not Verified,14-Dec,car,8.5,2000,6,0,6.2,13,Individual,0,0,4.778158489,797,3.342027688,0
8500,36,282.29,6,MORTGAGE,Not Verified,14-Dec,car,11.17,2002,6,1,52.9,11,Individual,1,1,4.740370586,687,3.682415862,0
7000,36,230.64,4,MORTGAGE,Not Verified,14-Dec,car,3.56,1985,9,0,27.1,23,Individual,3,0,4.903095416,727,3.99237676,0
4000,36,132.84,10,RENT,Not Verified,14-Dec,car,28.04,1995,21,0,60.3,43,Individual,5,0,4.924284456,697,4.634648536,0
9000,36,292.48,0,RENT,Source Verified,14-Dec,car,14.36,2001,3,0,96.9,7,Individual,0,0,4.903095416,712,4.190639798,0
7000,36,232.47,0,MORTGAGE,Source Verified,14-Dec,car,18.62,1998,14,0,90.2,40,Individual,3,0,4.892133576,662,4.537264859,1
20000,36,612.89,10,OWN,Source Verified,14-Dec,car,6.44,1985,14,0,32.6,39,Individual,0,0,5.260083319,722,4.244920044,0
8200,36,266.49,10,RENT,Verified,14-Dec,car,8.82,2003,3,0,86.2,7,Individual,0,0,4.361746718,697,3.894814329,0
13500,60,321.1,,MORTGAGE,Verified,14-Dec,car,8.22,1996,4,1,0,17,Individual,4,1,4.954652483,667,0,0
1200,36,37.71,4,MORTGAGE,Verified,14-Dec,car,12.19,2002,16,0,8.5,30,Individual,3,0,4.716011695,707,3.478710756,0
15000,36,487.47,10,MORTGAGE,Not Verified,14-Dec,car,0.23,1997,5,0,15.7,24,Individual,4,0,5.152291403,682,3.104828404,0
